iter	Logloss
0	0.6911730575
1	0.6896455056
2	0.6882039926
3	0.6865508326
4	0.6846595314
5	0.6831107821
6	0.6817409723
7	0.68019415
8	0.6787581725
9	0.6773728461
10	0.6758664156
11	0.6746224738
12	0.6733832918
13	0.6721980095
14	0.6709763027
15	0.6696696002
16	0.6684313342
17	0.6672855182
18	0.6661799109
19	0.6651296172
20	0.6638843819
21	0.6628893654
22	0.6620255453
23	0.6610520709
24	0.6601272537
25	0.6591061504
26	0.6583379352
27	0.6574445455
28	0.6567060655
29	0.6559488718
30	0.6553207055
31	0.6545873904
32	0.6537908875
33	0.653296971
34	0.6527290244
35	0.6520160218
36	0.6515433427
37	0.6508166864
38	0.6502068529
39	0.6497046549
40	0.6491962081
41	0.6486092257
42	0.6480298881
43	0.6474413642
44	0.6468536434
45	0.6463125412
46	0.6457995067
47	0.6454076971
48	0.6449704834
49	0.6443917801
50	0.6439691948
51	0.6435084239
52	0.6430900402
53	0.6426206278
54	0.6422354278
55	0.6419092761
56	0.6415185234
57	0.6412158346
58	0.6407290208
59	0.6404568704
60	0.6400834772
61	0.6397874686
62	0.639380142
63	0.6390118537
64	0.6386794307
65	0.6383823831
66	0.6379510628
67	0.6374693382
68	0.6370105701
69	0.6365860355
70	0.6362054223
71	0.6359123052
72	0.6353786526
73	0.635057599
74	0.6347728599
75	0.6343616906
76	0.6339681503
77	0.6336318109
78	0.633319961
79	0.632977495
80	0.6326719694
81	0.6323131379
82	0.6320310433
83	0.6317717951
84	0.6315295969
85	0.6312794842
86	0.6310571772
87	0.6308352268
88	0.6306213382
89	0.6304520426
90	0.6302467294
91	0.6299298748
92	0.6297757125
93	0.6295182772
94	0.6292201343
95	0.6288985228
96	0.6286333461
97	0.6283866262
98	0.6280520556
99	0.6277189246
100	0.6274987951
101	0.6273288237
102	0.6270917207
103	0.6268221572
104	0.6265602107
105	0.6263827492
106	0.6261300482
107	0.6259249327
108	0.6256719709
109	0.6253722251
110	0.6251816954
111	0.6249698178
112	0.6246825458
113	0.624507715
114	0.6242363231
115	0.6239049892
116	0.6237305623
117	0.6235751223
118	0.6232313723
119	0.6230917356
120	0.6228222153
121	0.622525633
122	0.6223223121
123	0.6220917241
124	0.6218836602
125	0.6216524568
126	0.621380546
127	0.6211801406
128	0.6209088418
129	0.6206209541
130	0.6203920599
131	0.6202803632
132	0.6201118427
133	0.6199477982
134	0.619734621
135	0.6195214561
136	0.619323631
137	0.6191339103
138	0.6189976003
139	0.6186418078
140	0.6184526121
141	0.618236918
142	0.618112473
143	0.6179352262
144	0.6177516723
145	0.6175465149
146	0.6173550327
147	0.6172099722
148	0.6170505497
149	0.6167552119
150	0.6165642775
151	0.6163834672
152	0.6161818591
153	0.6159117614
154	0.6156954867
155	0.6155294421
156	0.6153490115
157	0.6152217295
158	0.6150917201
159	0.6148283853
160	0.6146614321
161	0.6144255106
162	0.614288844
163	0.6140361326
164	0.6138445689
165	0.6135977476
