iter	Passed	Remaining
0	57	57929
1	61	30739
2	65	21821
3	69	17251
4	73	14541
5	76	12683
6	80	11372
7	84	10509
8	88	9718
9	91	9085
10	95	8588
11	99	8180
12	102	7816
13	106	7505
14	110	7236
15	113	7007
16	117	6797
17	121	6610
18	124	6444
19	128	6312
20	132	6178
21	136	6055
22	140	5947
23	143	5843
24	147	5746
25	151	5659
26	154	5579
27	158	5509
28	162	5440
29	166	5372
30	169	5313
31	173	5251
32	177	5192
33	180	5140
34	184	5086
35	188	5045
36	191	4996
37	195	4951
38	199	4906
39	202	4867
40	207	4850
41	210	4811
42	214	4773
43	218	4741
44	221	4707
45	225	4673
46	228	4641
47	232	4610
48	236	4581
49	239	4553
50	243	4528
51	247	4503
52	250	4480
53	254	4456
54	257	4431
55	261	4412
56	265	4394
57	269	4372
58	272	4351
59	276	4331
60	280	4311
61	283	4292
62	287	4272
63	290	4254
64	294	4236
65	298	4218
66	301	4200
67	305	4184
68	308	4167
69	312	4156
70	316	4139
71	319	4123
72	323	4108
73	327	4096
74	331	4083
75	334	4068
76	338	4056
77	341	4042
78	345	4031
79	349	4017
80	353	4008
81	356	3995
82	360	3983
83	364	3970
84	367	3958
85	371	3947
86	375	3935
87	378	3923
88	382	3914
89	386	3906
90	389	3895
91	393	3884
92	397	3875
93	401	3869
94	405	3861
95	408	3850
96	412	3841
97	416	3832
98	419	3821
99	423	3812
100	427	3802
101	430	3792
102	434	3782
103	438	3773
104	441	3764
105	445	3755
106	449	3751
107	453	3743
108	456	3735
109	460	3726
110	464	3718
111	467	3709
112	471	3700
113	475	3692
114	478	3683
115	482	3675
116	485	3667
117	489	3659
118	493	3651
119	496	3643
120	500	3637
121	504	3628
122	507	3620
123	511	3614
124	515	3607
125	518	3599
126	522	3593
127	526	3585
128	530	3579
129	533	3571
130	537	3564
131	540	3557
132	544	3550
133	548	3543
134	551	3535
135	556	3533
136	559	3525
137	563	3518
138	567	3512
139	570	3505
140	574	3498
141	577	3491
142	581	3484
143	585	3478
144	589	3476
145	593	3469
146	596	3462
147	600	3456
148	604	3450
149	607	3443
150	611	3436
151	614	3430
152	618	3424
153	622	3417
154	625	3411
155	629	3405
156	633	3402
157	637	3397
158	641	3391
159	644	3385
160	648	3380
161	652	3374
162	655	3367
163	659	3362
164	663	3356
165	666	3350
166	670	3344
167	674	3338
168	677	3332
169	681	3326
170	685	3321
171	690	3324
172	694	3321
173	699	3321
174	703	3316
175	707	3311
176	710	3304
177	714	3298
178	717	3293
179	721	3286
180	725	3282
181	729	3276
182	732	3271
183	736	3265
184	740	3260
185	743	3254
186	747	3249
187	751	3243
188	754	3239
189	758	3233
190	762	3228
191	765	3222
192	769	3217
193	773	3212
194	776	3207
195	780	3201
196	784	3195
197	787	3190
198	791	3184
199	794	3179
200	798	3174
201	802	3168
202	805	3164
203	809	3159
204	813	3155
205	817	3152
206	821	3147
207	825	3142
208	829	3138
209	833	3133
210	836	3128
211	840	3124
212	844	3118
213	847	3113
214	851	3108
215	854	3103
216	858	3098
217	862	3093
218	866	3090
219	870	3085
220	873	3080
221	877	3074
222	881	3070
223	884	3065
224	888	3060
225	892	3055
226	895	3050
227	899	3045
228	903	3040
229	906	3035
230	910	3030
231	914	3026
232	917	3020
233	921	3015
234	924	3011
235	928	3006
236	932	3001
237	935	2996
238	939	2991
239	943	2986
240	946	2981
241	950	2977
242	954	2972
243	957	2967
244	961	2962
245	964	2957
246	968	2952
247	972	2947
248	975	2942
249	979	2938
250	982	2933
251	986	2928
252	990	2923
253	993	2918
254	997	2914
255	1001	2909
256	1005	2905
257	1008	2901
258	1012	2896
259	1016	2891
260	1019	2887
261	1023	2882
262	1027	2878
263	1030	2874
264	1034	2869
265	1038	2865
266	1042	2860
267	1045	2856
268	1049	2852
269	1053	2848
270	1056	2843
271	1060	2838
272	1064	2834
273	1068	2830
274	1071	2825
275	1075	2821
276	1079	2817
277	1083	2812
278	1086	2808
279	1090	2803
280	1094	2800
281	1098	2795
282	1101	2791
283	1105	2786
284	1108	2782
285	1112	2777
286	1116	2773
287	1119	2768
288	1123	2764
289	1127	2759
290	1130	2755
291	1134	2751
292	1138	2748
293	1142	2743
294	1146	2739
295	1149	2734
296	1153	2730
297	1157	2725
298	1160	2721
299	1164	2716
300	1168	2712
301	1171	2708
302	1175	2703
303	1178	2699
304	1182	2695
305	1187	2692
306	1190	2688
307	1194	2683
308	1198	2679
309	1201	2674
310	1205	2670
311	1208	2665
312	1212	2661
313	1216	2656
314	1219	2652
315	1223	2647
316	1226	2643
317	1230	2639
318	1234	2635
319	1238	2631
320	1242	2627
321	1245	2622
322	1249	2619
323	1253	2614
324	1256	2610
325	1260	2605
326	1264	2601
327	1267	2597
328	1271	2593
329	1275	2588
330	1278	2584
331	1282	2580
332	1286	2576
333	1289	2572
334	1293	2567
335	1297	2564
336	1301	2559
337	1304	2555
338	1308	2551
339	1312	2547
340	1315	2543
341	1319	2538
342	1323	2535
343	1327	2531
344	1331	2527
345	1334	2522
346	1338	2518
347	1342	2514
348	1345	2510
349	1349	2506
350	1353	2502
351	1356	2497
352	1360	2493
353	1364	2489
354	1367	2484
355	1371	2481
356	1375	2477
357	1378	2472
358	1382	2468
359	1386	2464
360	1390	2460
361	1393	2456
362	1397	2451
363	1400	2447
364	1404	2443
365	1408	2439
366	1411	2435
367	1415	2431
368	1419	2426
369	1422	2422
370	1426	2418
371	1430	2414
372	1433	2410
373	1437	2406
374	1441	2402
375	1445	2398
376	1448	2394
377	1452	2389
378	1456	2385
379	1459	2381
380	1463	2377
381	1467	2373
382	1470	2369
383	1474	2365
384	1478	2361
385	1481	2357
386	1485	2353
387	1489	2348
388	1492	2344
389	1496	2340
390	1500	2336
391	1503	2332
392	1507	2328
393	1511	2324
394	1515	2320
395	1518	2316
396	1522	2312
397	1526	2308
398	1529	2304
399	1533	2300
400	1537	2296
401	1541	2292
402	1544	2288
403	1548	2284
404	1552	2280
405	1556	2276
406	1559	2272
407	1563	2268
408	1566	2264
409	1570	2260
410	1574	2256
411	1577	2251
412	1581	2247
413	1585	2243
414	1588	2239
415	1592	2235
416	1596	2231
417	1599	2227
418	1603	2223
419	1607	2219
420	1610	2215
421	1614	2211
422	1618	2207
423	1621	2203
424	1625	2199
425	1628	2194
426	1632	2190
427	1636	2186
428	1639	2182
429	1643	2178
430	1647	2174
431	1651	2171
432	1655	2167
433	1660	2165
434	1665	2162
435	1669	2159
436	1673	2155
437	1676	2151
438	1680	2147
439	1684	2143
440	1687	2139
441	1691	2135
442	1695	2132
443	1699	2128
444	1703	2124
445	1706	2119
446	1710	2115
447	1713	2111
448	1717	2107
449	1721	2103
450	1725	2099
451	1728	2095
452	1732	2091
453	1735	2087
454	1739	2083
455	1743	2079
456	1746	2075
457	1750	2071
458	1753	2067
459	1757	2063
460	1761	2059
461	1764	2055
462	1768	2051
463	1772	2047
464	1775	2043
465	1779	2039
466	1783	2035
467	1786	2031
468	1790	2027
469	1794	2023
470	1797	2019
471	1801	2015
472	1805	2011
473	1808	2007
474	1812	2003
475	1815	1999
476	1819	1994
477	1824	1992
478	1827	1988
479	1831	1984
480	1835	1980
481	1838	1976
482	1842	1972
483	1846	1968
484	1850	1964
485	1853	1960
486	1857	1956
487	1861	1952
488	1864	1948
489	1868	1944
490	1872	1941
491	1876	1937
492	1880	1933
493	1883	1929
494	1887	1925
495	1891	1921
496	1894	1917
497	1898	1913
498	1902	1909
499	1905	1905
500	1909	1901
501	1913	1897
502	1916	1893
503	1920	1889
504	1924	1885
505	1927	1881
506	1931	1877
507	1934	1873
508	1938	1869
509	1942	1866
510	1946	1862
511	1949	1858
512	1953	1854
513	1957	1850
514	1960	1846
515	1964	1842
516	1968	1838
517	1971	1834
518	1975	1830
519	1979	1826
520	1982	1822
521	1986	1818
522	1990	1815
523	1993	1811
524	1997	1807
525	2001	1803
526	2004	1799
527	2008	1795
528	2012	1791
529	2015	1787
530	2019	1783
531	2023	1779
532	2026	1775
533	2030	1771
534	2033	1767
535	2037	1763
536	2041	1759
537	2044	1755
538	2049	1752
539	2052	1748
540	2056	1744
541	2059	1740
542	2063	1736
543	2067	1732
544	2070	1728
545	2074	1725
546	2078	1721
547	2081	1717
548	2085	1713
549	2089	1709
550	2092	1705
551	2096	1701
552	2099	1697
553	2103	1693
554	2107	1689
555	2110	1685
556	2114	1681
557	2118	1677
558	2121	1673
559	2125	1670
560	2129	1666
561	2132	1662
562	2136	1658
563	2140	1654
564	2143	1650
565	2147	1646
566	2151	1642
567	2154	1638
568	2158	1634
569	2162	1631
570	2165	1627
571	2169	1623
572	2172	1619
573	2176	1615
574	2180	1611
575	2183	1607
576	2187	1603
577	2191	1599
578	2195	1596
579	2198	1592
580	2202	1588
581	2206	1584
582	2210	1580
583	2213	1576
584	2217	1572
585	2220	1569
586	2224	1565
587	2228	1561
588	2231	1557
589	2235	1553
590	2239	1549
591	2242	1545
592	2246	1541
593	2250	1538
594	2253	1534
595	2257	1530
596	2261	1526
597	2264	1522
598	2268	1518
599	2272	1514
600	2275	1510
601	2279	1506
602	2282	1503
603	2286	1499
604	2290	1495
605	2293	1491
606	2297	1487
607	2300	1483
608	2304	1479
609	2308	1475
610	2311	1471
611	2315	1467
612	2318	1464
613	2322	1460
614	2326	1456
615	2329	1452
616	2333	1448
617	2337	1444
618	2340	1440
619	2344	1436
620	2348	1433
621	2351	1429
622	2355	1425
623	2358	1421
624	2362	1417
625	2365	1413
626	2369	1409
627	2373	1405
628	2377	1402
629	2380	1398
630	2384	1394
631	2388	1390
632	2391	1386
633	2395	1382
634	2398	1378
635	2402	1375
636	2406	1371
637	2409	1367
638	2413	1363
639	2417	1359
640	2421	1355
641	2424	1352
642	2428	1348
643	2432	1344
644	2436	1340
645	2439	1336
646	2443	1333
647	2447	1329
648	2450	1325
649	2454	1321
650	2457	1317
651	2461	1313
652	2465	1309
653	2468	1306
654	2472	1302
655	2476	1298
656	2479	1294
657	2483	1290
658	2486	1286
659	2490	1282
660	2494	1279
661	2497	1275
662	2501	1271
663	2505	1267
664	2508	1263
665	2512	1259
666	2515	1256
667	2519	1252
668	2523	1248
669	2527	1244
670	2531	1241
671	2534	1237
672	2539	1233
673	2542	1229
674	2546	1226
675	2550	1222
676	2553	1218
677	2557	1214
678	2561	1210
679	2564	1207
680	2568	1203
681	2572	1199
682	2575	1195
683	2579	1191
684	2583	1187
685	2586	1184
686	2590	1180
687	2594	1176
688	2598	1172
689	2601	1168
690	2605	1165
691	2608	1161
692	2612	1157
693	2616	1153
694	2620	1150
695	2626	1147
696	2631	1143
697	2637	1141
698	2640	1137
699	2644	1133
700	2648	1129
701	2651	1125
702	2655	1121
703	2659	1118
704	2663	1114
705	2666	1110
706	2670	1106
707	2673	1102
708	2677	1098
709	2681	1095
710	2684	1091
711	2688	1087
712	2691	1083
713	2695	1079
714	2699	1075
715	2702	1072
716	2706	1068
717	2710	1064
718	2714	1060
719	2717	1056
720	2721	1053
721	2725	1049
722	2729	1045
723	2732	1041
724	2736	1037
725	2740	1034
726	2743	1030
727	2747	1026
728	2750	1022
729	2754	1018
730	2758	1014
731	2761	1011
732	2765	1007
733	2768	1003
734	2772	999
735	2776	995
736	2779	991
737	2783	988
738	2787	984
739	2790	980
740	2794	976
741	2798	972
742	2801	969
743	2805	965
744	2809	961
745	2812	957
746	2816	953
747	2820	950
748	2823	946
749	2827	942
750	2831	938
751	2835	935
752	2838	931
753	2842	927
754	2847	923
755	2850	920
756	2854	916
757	2858	912
758	2861	908
759	2865	904
760	2869	901
761	2872	897
762	2876	893
763	2879	889
764	2883	885
765	2887	882
766	2890	878
767	2894	874
768	2898	870
769	2902	866
770	2906	863
771	2909	859
772	2913	855
773	2917	851
774	2921	848
775	2924	844
776	2928	840
777	2931	836
778	2935	832
779	2939	828
780	2943	825
781	2947	821
782	2950	817
783	2954	813
784	2957	810
785	2961	806
786	2965	802
787	2968	798
788	2972	794
789	2975	791
790	2979	787
791	2983	783
792	2986	779
793	2990	775
794	2994	772
795	2998	768
796	3001	764
797	3005	760
798	3009	757
799	3013	753
800	3016	749
801	3020	745
802	3024	741
803	3028	738
804	3031	734
805	3035	730
806	3039	726
807	3042	723
808	3046	719
809	3049	715
810	3053	711
811	3057	707
812	3060	704
813	3064	700
814	3068	696
815	3071	692
816	3075	688
817	3078	685
818	3082	681
819	3086	677
820	3089	673
821	3093	669
822	3096	666
823	3100	662
824	3104	658
825	3107	654
826	3111	650
827	3115	647
828	3118	643
829	3122	639
830	3126	635
831	3129	631
832	3133	628
833	3137	624
834	3140	620
835	3144	616
836	3148	613
837	3151	609
838	3155	605
839	3159	601
840	3163	598
841	3166	594
842	3170	590
843	3174	586
844	3177	582
845	3181	579
846	3185	575
847	3188	571
848	3192	567
849	3196	564
850	3199	560
851	3203	556
852	3206	552
853	3210	548
854	3214	545
855	3217	541
856	3221	537
857	3225	533
858	3228	529
859	3232	526
860	3235	522
861	3239	518
862	3243	514
863	3246	511
864	3250	507
865	3254	503
866	3257	499
867	3261	495
868	3265	492
869	3268	488
870	3272	484
871	3275	480
872	3279	477
873	3283	473
874	3287	469
875	3291	465
876	3294	462
877	3298	458
878	3301	454
879	3305	450
880	3309	446
881	3312	443
882	3316	439
883	3320	435
884	3324	431
885	3328	428
886	3332	424
887	3335	420
888	3339	416
889	3343	413
890	3346	409
891	3350	405
892	3353	401
893	3357	398
894	3361	394
895	3364	390
896	3368	386
897	3372	383
898	3375	379
899	3379	375
900	3382	371
901	3386	367
902	3390	364
903	3393	360
904	3397	356
905	3401	352
906	3405	349
907	3408	345
908	3412	341
909	3416	337
910	3419	334
911	3423	330
912	3426	326
913	3430	322
914	3434	319
915	3437	315
916	3441	311
917	3444	307
918	3448	303
919	3452	300
920	3456	296
921	3459	292
922	3463	288
923	3466	285
924	3470	281
925	3474	277
926	3477	273
927	3481	270
928	3485	266
929	3489	262
930	3492	258
931	3496	255
932	3499	251
933	3503	247
934	3507	243
935	3510	240
936	3514	236
937	3518	232
938	3521	228
939	3525	225
940	3529	221
941	3533	217
942	3537	213
943	3541	210
944	3544	206
945	3548	202
946	3552	198
947	3556	195
948	3560	191
949	3564	187
950	3568	183
951	3573	180
952	3579	176
953	3583	172
954	3588	169
955	3594	165
956	3599	161
957	3603	157
958	3607	154
959	3611	150
960	3615	146
961	3618	142
962	3622	139
963	3626	135
964	3629	131
965	3634	127
966	3637	124
967	3642	120
968	3646	116
969	3650	112
970	3654	109
971	3657	105
972	3661	101
973	3665	97
974	3668	94
975	3672	90
976	3676	86
977	3679	82
978	3683	79
979	3687	75
980	3690	71
981	3694	67
982	3697	63
983	3701	60
984	3705	56
985	3708	52
986	3712	48
987	3716	45
988	3720	41
989	3723	37
990	3727	33
991	3730	30
992	3734	26
993	3738	22
994	3741	18
995	3745	15
996	3748	11
997	3752	7
998	3756	3
999	3759	0
