iter	Logloss
0	0.690043439
1	0.6872342993
2	0.6844354758
3	0.6817751957
4	0.6790963729
5	0.676486794
6	0.6740185454
7	0.6715366752
8	0.6693179376
9	0.6669712771
10	0.6649009618
11	0.663106706
12	0.6615133713
13	0.659463944
14	0.6575925
15	0.6561357093
16	0.654413346
17	0.6526869439
18	0.6510665403
19	0.6495403388
20	0.6481803444
21	0.6466977437
22	0.645261127
23	0.6438730229
24	0.6426873877
25	0.6413590091
26	0.640203263
27	0.6391070143
28	0.6379453965
29	0.6373717949
30	0.6363969714
31	0.6353557739
32	0.6343478132
33	0.6336258919
34	0.632680605
35	0.6319444504
36	0.6310723393
37	0.6302166411
38	0.6299871281
39	0.6292117576
40	0.6284873819
41	0.6277026858
42	0.6269609857
43	0.6263551452
44	0.6257662332
45	0.6251805719
46	0.62477412
47	0.6242659615
48	0.6237756945
49	0.6233820226
50	0.6228303167
51	0.6222801797
52	0.6217831364
53	0.621282708
54	0.6207685581
55	0.6202209101
56	0.6197192095
57	0.6191236586
58	0.6186497628
59	0.6181764586
60	0.6176735363
61	0.6171497846
62	0.6166363602
63	0.6165095216
64	0.6162233137
65	0.6158816319
66	0.6154249543
67	0.6150007312
68	0.6145103023
69	0.6140904707
70	0.6136280176
71	0.6135285668
72	0.6130429638
73	0.6125837129
74	0.6121971838
75	0.6120090615
76	0.6117400711
77	0.6114429704
78	0.6110917825
79	0.6107359914
80	0.6104771823
81	0.6101810005
82	0.6098802337
83	0.6094081281
84	0.6091486906
85	0.6088917023
86	0.6085879341
87	0.6084151905
88	0.6081988473
89	0.607852474
90	0.6075703088
91	0.6075068079
92	0.6073918206
93	0.6070442981
94	0.6066498867
95	0.6064027362
96	0.6061553903
97	0.60592783
98	0.6057063973
99	0.605540655
100	0.6052478877
101	0.6049019193
102	0.6048435262
103	0.6046601559
104	0.6043959715
105	0.6040610055
106	0.6038934151
107	0.6036618908
108	0.6033182132
109	0.603302711
110	0.6029974135
111	0.6027722587
112	0.6026091149
113	0.6024327941
114	0.6021783976
115	0.6019269212
116	0.6016851302
117	0.6014377634
118	0.6012717285
119	0.6009864183
120	0.6007939651
121	0.60053095
122	0.600226626
123	0.5999523159
124	0.5997321231
125	0.5995833308
126	0.5993744187
127	0.5991935577
128	0.5991725038
129	0.5988749077
130	0.5985925979
131	0.5982886409
132	0.5980780821
133	0.5977970769
134	0.5975356147
135	0.5973211527
136	0.5971266349
137	0.5969629234
138	0.5966575383
139	0.5964144417
140	0.5962673072
141	0.5961176994
142	0.5959296227
143	0.5957109111
144	0.5954729504
145	0.5953036364
146	0.5951725848
147	0.5950058834
148	0.5947668467
149	0.5945839611
150	0.5943665654
151	0.5941880567
152	0.5940107644
153	0.5938401567
154	0.5937234281
